model-1658635135, 1658635138.473, 0.44, 24.722, 0.0, 31.7981
model-1658635135, 1658635138.498, 0.0, 29.3621, 0.0, 31.798
model-1658635135, 1658635138.516, 0.0, 30.558, 0.0, 31.798
model-1658635135, 1658635138.519, 0.0, 25.622, 0.45, 31.798
model-1658635135, 1658635138.535, 0.56, 27.678, 0.44, 31.798
model-1658635135, 1658635138.55, 0.41, 30.774, 0.26, 31.798
model-1658635135, 1658635138.566, 0.36, 29.202, 0.11, 31.798
model-1658635135, 1658635138.582, 0.09, 29.658, 0.01, 31.798
model-1658635135, 1658635138.594, 0.02, 24.79, 0.0, 31.798
model-1658635135, 1658635138.621, 0.0, 24.51, 0.01, 31.798
model-1658635135, 1658635138.628, 0.0, 29.882, 0.05, 31.798
model-1658635135, 1658635138.643, 0.04, 29.082, 0.0, 31.798
model-1658635135, 1658635138.665, 0.02, 30.782, 0.0, 31.798
model-1658635135, 1658635138.675, 0.0, 30.026, 0.0, 31.798
model-1658635135, 1658635138.69, 0.0, 26.438, 0.0, 31.798
model-1658635135, 1658635138.713, 0.0, 22.978, 0.0, 31.798
model-1658635135, 1658635138.714, 0.0, 28.886, 0.0, 31.798
model-1658635135, 1658635138.73, 0.0, 29.154, 0.0, 31.798
model-1658635135, 1658635138.745, 0.0, 24.922, 0.0, 31.798
model-1658635135, 1658635138.765, 0.0, 27.046, 0.0, 31.798
model-1658635135, 1658635138.777, 0.0, 26.95, 0.01, 31.798
model-1658635135, 1658635138.793, 0.0, 24.978, 0.02, 31.798
model-1658635135, 1658635138.817, 0.0, 29.126, 0.01, 31.798
model-1658635135, 1658635138.824, 0.02, 28.986, 0.01, 31.798
model-1658635135, 1658635138.839, 0.03, 26.146, 0.01, 31.798
model-1658635135, 1658635138.855, 0.02, 27.006, 0.03, 31.798
model-1658635135, 1658635138.871, 0.04, 31.082, 0.02, 31.798
model-1658635135, 1658635138.887, 0.03, 26.086, 0.0, 31.798
model-1658635135, 1658635138.902, 0.0, 26.646, 0.0, 31.798
model-1658635135, 1658635138.921, 0.01, 29.022, 0.0, 31.798
model-1658635135, 1658635138.928, 0.0, 29.406, 0.0, 31.798
model-1658635135, 1658635138.944, 0.0, 28.138, 0.0, 31.798
model-1658635135, 1658635138.965, 0.0, 28.282, 0.0, 31.798
model-1658635135, 1658635138.983, 0.0, 24.614, 0.0, 31.798
model-1658635135, 1658635138.985, 0.0, 27.386, 0.0, 31.798
model-1658635135, 1658635139.001, 0.0, 27.83, 0.01, 31.798
model-1658635135, 1658635139.016, 0.0, 32.286, 0.01, 31.798
model-1658635135, 1658635139.045, 0.0, 29.326, 0.03, 31.798
model-1658635135, 1658635139.053, 0.01, 29.558, 0.03, 31.798
model-1658635135, 1658635139.069, 0.02, 28.638, 0.03, 31.798
model-1658635135, 1658635139.085, 0.04, 24.802, 0.02, 31.798
model-1658635135, 1658635139.1, 0.02, 25.21, 0.02, 31.798
model-1658635135, 1658635139.116, 0.04, 29.39, 0.03, 31.798
model-1658635135, 1658635139.132, 0.02, 25.822, 0.06, 31.798
model-1658635135, 1658635139.15, 0.06, 25.758, 0.05, 31.798
model-1658635135, 1658635139.165, 0.03, 26.386, 0.07, 31.798
model-1658635135, 1658635139.172, 0.04, 29.114, 0.06, 31.798
model-1658635135, 1658635139.188, 0.05, 28.998, 0.04, 31.798
model-1658635135, 1658635139.203, 0.02, 32.278, 0.01, 31.798
model-1658635135, 1658635139.219, 0.03, 25.218, 0.01, 31.798
model-1658635135, 1658635139.234, 0.01, 28.818, 0.01, 31.798
model-1658635135, 1658635139.244, 0.01, 27.198, 0.01, 31.798
model-1658635135, 1658635139.266, 0.03, 31.338, 0.01, 31.798
model-1658635135, 1658635139.285, 0.0, 33.958, 0.01, 31.798
model-1658635135, 1658635139.289, 0.02, 28.57, 0.01, 31.798
model-1658635135, 1658635139.305, 0.02, 25.814, 0.01, 31.798
model-1658635135, 1658635139.321, 0.01, 30.882, 0.02, 31.798
model-1658635135, 1658635139.336, 0.03, 27.47, 0.02, 31.798
